file,md5,start,end,spoken_language,signed_language,dataset,text,extra
videos/100_hundred_one_hundred.mp4,cf37950a181b17556aa94039e59cb1f1,0,0,en,ase,whatsthatsign,"100, hundred, one hundred, a hundred","{""signpuddle_id"": ""638"", ""sign_fsw"": ""AS10020S2fe00S10006S16d20M509x527S10020494x473S16d20492x507"", ""source"": ""Adam Frost"", ""fps"": 30.0, ""duration"": 1.733, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/100_one_hundred_a_hundred.mp4,3ff2a50c0fbfb441c1307b1890d9b845,0,0,en,ase,whatsthatsign,"100, one hundred, a hundred","{""signpuddle_id"": ""648"", ""sign_fsw"": ""AS10020S2fe00S10006S10620M511x530S10020496x470S10620490x504"", ""source"": ""Adam Frost"", ""fps"": 30.0, ""duration"": 1.5, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/101_one_hundred_one_a_hundred_one.mp4,2dcd46000095460911c3430672c1a08c,0,0,en,ase,whatsthatsign,"101, one hundred one, a hundred one","{""signpuddle_id"": ""649"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S10020M511x557S10020495x443S10620489x477S17620495x507S10020495x527"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.502, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/102_one_hundred_two_a_hundred_two.mp4,8a157c4685b5b51673ebf61866e5d80b,0,0,en,ase,whatsthatsign,"102, one hundred two, a hundred two","{""signpuddle_id"": ""650"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S10e20M511x557S10020495x443S10620489x477S17620495x507S10e20495x527"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.236, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/103_one_hundred_three_a_hundred_three.mp4,d03cc95895775732f809867e4093ba62,0,0,en,ase,whatsthatsign,"103, one hundred three, a hundred three","{""signpuddle_id"": ""651"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S11e20M512x557S10020496x443S10620490x477S17620496x507S11e20488x527"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.002, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/104_one_hundred_four_a_hundred_four.mp4,186428f848ec420132c9fa26a7fde3bc,0,0,en,ase,whatsthatsign,"104, one hundred four, a hundred four","{""signpuddle_id"": ""652"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S14420M514x558S10020493x443S10620487x477S17620493x507S14420492x527"", ""source"": ""Adam Frost"", ""fps"": 30.0, ""duration"": 2.233, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/105_one_hundred_five_a_hundred_five.mp4,eecc2f44f9bafb0ee5d20cb9c9e10747,0,0,en,ase,whatsthatsign,"105, one hundred five, a hundred five","{""signpuddle_id"": ""653"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S14c20M513x558S10020493x443S10620487x477S17620493x507S14c20490x527"", ""source"": ""Adam Frost"", ""fps"": 30.0, ""duration"": 2.333, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/106_one_hundred_six_a_hundred_six.mp4,f7635a47047c1edc682d06c52132963a,0,0,en,ase,whatsthatsign,"106, one hundred six, a hundred six","{""signpuddle_id"": ""654"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S18720M512x557S10020495x444S10620489x478S17620495x508S18720494x528"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.336, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/107_one_hundred_seven_a_hundred_seven.mp4,d2bc7417194b958293651ebc603cf1b9,0,0,en,ase,whatsthatsign,"107, one hundred seven, a hundred seven","{""signpuddle_id"": ""655"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S1a520M514x556S10020493x444S10620487x478S17620493x508S1a520493x528"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.236, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/108_one_hundred_eight_a_hundred_eight.mp4,3c31bd7e53ad5b5f93787366aca8582b,0,0,en,ase,whatsthatsign,"108, one hundred eight, a hundred eight","{""signpuddle_id"": ""656"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S1bb20M514x556S10020493x444S10620487x478S17620493x508S1bb20493x528"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 2.202, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/109_one_hundred_nine_a_hundred_nine.mp4,30a9cb30d0bd970a3578193498b78c42,0,0,en,ase,whatsthatsign,"109, one hundred nine, a hundred nine","{""signpuddle_id"": ""657"", ""sign_fsw"": ""AS10020S2fe00S10006S10620S17620S1ce20M514x557S10020492x443S10620486x477S17620492x507S1ce20492x527"", ""source"": ""Adam Frost"", ""fps"": 29.97, ""duration"": 1.968, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
videos/10_o_clock_ten_o_clock_10_00.mp4,1d00b4bbde0b91531a6315871b65f100,0,0,en,ase,whatsthatsign,"10 o'clock, ten o'clock, 10:00","{""signpuddle_id"": ""2188"", ""sign_fsw"": ""AS10021S38630S20359S2fe00S20500S22a07S1f540S2f900M528x534S10021484x513S20359477x490S20500472x506S22a07506x502S1f540513x466S2f900515x493"", ""source"": ""Adam Frost"", ""fps"": 30.0, ""duration"": 1.7, ""width"": 1280, ""height"": 720, ""codec"": ""h264""}"
